0;;36,889
;;
39;;
;;
31;;
;;
17;;
;;
4;;
;;
4;;
;;
2;;
;;
19;;
;;
58;;
;;
0;17,4;
;;
19;19,3;
;;
34;18,8;
;;
43;20;
;;
21;20,4;
;;
58;25,8;
;;
28;28,2;
;;
40;32;
;;
37;33,8;
;;
36;31,6;
;;
28;34,4;
;;
5;33;
;;
23;31,9;
;;
1;27,7;
;;
16;27,2;
;;
7;22,1;
;;
8;20,1;
;;
2;16,3;
;;
30;15,6;
;;
13;13,3;
;;
19;12,4;
;;
33;15,2;
;;
29;15,8;
;;
4;16,1;
;;
22;16,7;
;;
30;19;
;;
13;19,5;
;;
11;20,4;
;;
65;23,9;
;;
1;22,7;
;;
15;22,3;
;;
26;21,6;
;;
23;21;
;;
5;21,1;
;;
31;22;
;;
50;24;
;;
4;23,1;
;;
1;22,1;
;;
70;22,6;
;;
36;26,1;
;;
24;27;
;;
12;25,6;
;;
85;31,8;
;;
127;44;
;;
84;49,3;
;;
8;45,1;
;;
41;48,8;
;;
33;52;
;;
94;54,4;
;;
50;55,8;
;;
25;55,9;
;;
170;71,7;
;;
0;63,2;
;;
20;52,5;
;;
28;46,9;
;;
8;46,9;
;;
39;46,7;
;;
13;44,7;
;;
86;43,9;
;;
7;39,6;
;;
12;38,3;
;;
56;26,9;
;;
72;34,1;
;;
30;35,1;
;;
78;40,1;
;;
21;41,4;
;;
31;40,6;
;;
3;39,6;
;;
39;34,9;
;;
36;37,8;
;;
21;38,7;
;;
20;35,1;
;;
15;29,4;
;;
25;28,9;
;;
95;30,6;
;;
23;30,8;
;;
32;30,9;
;;
39;34,5;
;;
55;36,1;
;;
89;41,4;
;;
48;44,1;
;;
39;46;
;;
25;47;
;;
57;50,2;
;;
1;40,8;
;;
96;48,1;
;;
47;49,6;
;;
24;48,1;
;;
28;45,4;
;;
25;39;
;;
51;39,3;
;;
3;35,7;
;;
95;42,7;
;;
21;39,1;
;;
77;46,7;
;;
16;38,7;
;;
194;53,4;
;;
37;54,7;
;;
58;57,7;
;;
2;55,4;
;;
5;50,8;
;;
10;51,5;
;;
9;42,9;
;;
14;42,2;
;;
8;35,3;
;;
0;33,7;
;;
81;22,4;
;;
9;19,6;
;;
28;16,6;
;;
46;21;
;;
17;22,2;
;;
1;21,3;
;;
0;20,4;
;;
22;21,2;
;;
102;30,6;
;;
25;33,1;
;;
0;25;
;;
63;30,4;
;;
8;28,4;
;;
4;24,2;
;;
34;25,9;
;;
16;27,4;
;;
45;31,9;
;;
54;35,1;
;;
79;32,8;
;;
31;33,4;
;;
65;39,9;
;;
17;35,3;
;;
21;36,6;
;;
40;40,2;
;;
2;37;
;;
28;38,2;
;;
31;36,8;
;;
9;32,3;
;;
135;37,9;
;;
66;41,4;
;;
9;35,8;
;;
13;35,4;
;;
33;36,6;
;;
13;33,9;
;;
31;36,8;
;;
24;36,4;
;;
44;37,7;
;;
206;57,4;
;;
11;45;
;;
38;42,2;
;;
4;41,7;
;;
16;42;
;;
135;52,2;
;;
43;55,2;
;;
18;53,9;
;;
20;53,5;
;;
52;54,3;
;;
70;40,7;
;;
4;40;
;;
24;38,6;
;;
6;38,8;
;;
50;42,2;
;;
14;30,1;
;;
9;26,7;
;;
13;26,2;
;;
1;24,3;
;;
13;20,4;
;;
41;17,5;
;;
70;24,1;
;;
1;21,8;
;;
1;21,3;
;;
19;18,2;
;;
10;17,8;
;;
40;20,9;
;;
20;21,6;
;;
26;24,1;
;;
9;23,7;
;;
1;19,7;
;;
13;14;
;;
29;16,8;
;;
15;18,2;
;;
43;20,6;
;;
32;22,8;
;;
22;21;
;;
64;25,4;
;;
57;28,5;
;;
66;34,2;
;;
0;34,1;
;;
25;35,3;
;;
3;32,7;
;;
10;32,2;
;;
55;33,4;
;;
11;31,3;
;;
115;40,6;
;;
54;39,6;
;;
23;36,2;
;;
5;30,1;
;;
63;36,4;
;;
36;37,5;
;;
17;38,9;
;;
18;39,7;
;;
1;34,3;
;;
0;33,2;
;;
13;23;
;;
0;17,6;
;;
91;24,4;
;;
13;25,2;
;;
36;22,5;
;;
42;23,1;
;;
201;41,5;
;;
13;41;
;;
55;46,4;
;;
22;48,6;
;;
24;49,7;
;;
20;51,7;
;;
1;42,7;
;;
29;44,3;
;;
3;41;
;;
51;41,9;
;;
8;22,6;
;;
130;34,3;
;;
2;29;
;;
56;32,4;
;;
6;30,6;
;;
55;34,1;
;;
61;40,1;
;;
21;39,3;
;;
0;39;
;;
130;46,9;
;;
42;50,3;
;;
17;39;
;;
12;40;
;;
103;44,7;
;;
85;52,6;
;;
110;58,1;
;;
3;52,3;
;;
26;52,8;
;;
25;55,3;
;;
101;52,4;
;;
69;55,1;
;;
4;53,8;
;;
24;55;
;;
181;62,8;
;;
38;58,1;
;;
49;52;
;;
5;52,2;
;;
34;53;
;;
1;50,6;
;;
86;49,1;
;;
29;45,1;
;;
32;47,9;
;;
1;45,6;
;;
41;31,6;
;;
54;33,2;
;;
24;30,7;
;;
2;30,4;
;;
0;27;
;;
47;31,6;
;;
91;32,1;
;;
60;35,2;
;;
157;47,7;
;;
53;52,9;
;;
27;51,5;
;;
48;50,9;
;;
28;51,3;
;;
6;51,7;
;;
33;55;
;;
2;50,5;
;;
13;42,7;
;;
17;38,4;
;;
28;25,5;
;;
25;22,7;
;;
45;24,5;
;;
37;23,4;
;;
89;29,5;
;;
104;39,3;
;;
69;42,9;
;;
87;51,4;
;;
10;51,1;
;;
27;52,1;
;;
36;52,9;
;;
9;51,3;
;;
50;51,8;
;;
44;52,5;
;;
100;53,6;
;;
13;44,5;
;;
71;44,7;
;;
15;37,5;
;;
2;36,7;
;;
8;34,8;
;;
85;39,7;
